nodes PCs graph_id level exec_time_prereq exec_time_gurobi VCs pot_paths objective VCs_created graph_diameter number_of_trxs
6 12 17 0 4.272052602999906 0.007302581000089958 10 42 35.0 3 2 5 
6 12 17 1 4.1444924009999795 0.005338918000006743 10 42 35.0 3 2 5 
6 12 18 -1 4.295397803000014 0.00818258199990396 0 16 51.0 0 2 5 
6 12 18 0 4.003891437999982 0.008400673999972241 8 39 29.0 2 2 5 
6 12 18 1 4.2616428640000095 0.008001211000078001 8 39 29.0 2 2 5 
6 12 19 -1 4.282552528999986 0.003985580000062328 0 15 11.0 0 2 5 
6 12 19 0 4.105927360999999 0.004146533000039199 8 40 11.0 0 2 5 
6 12 19 1 4.165500297999984 0.00877071899992643 8 40 11.0 0 2 5 
6 12 20 -1 4.231706534999944 0.004508110000074339 0 19 19.0 0 2 5 
6 12 20 0 4.233983824000006 0.00380142500000602 6 31 10.0 1 2 5 
6 12 20 1 4.23707036899998 0.008743557000002511 6 31 10.0 1 2 5 
6 12 21 -1 4.211455436000051 0.0050812389999919105 0 16 52.0 0 2 5 
6 12 21 0 4.286422671000082 0.005199875000016618 8 40 29.0 2 2 5 
6 12 21 1 4.432106126999997 0.004844688000048336 8 40 29.0 2 2 5 
6 12 22 -1 4.165574020000008 0.006886175000090589 0 14 53.0 0 2 5 
6 12 22 0 4.320711269999947 0.00549988399995982 6 40 48.0 2 2 5 
6 12 22 1 4.281015054000022 0.003905687000042235 6 40 48.0 2 2 5 
6 12 23 -1 4.158142407000014 0.004443100999992566 0 14 44.0 0 2 5 
6 12 23 0 4.222298219999971 0.015089397999986431 6 40 23.0 2 2 5 
6 12 23 1 3.980150768000044 0.008435729999973773 6 40 23.0 2 2 5 
6 12 24 -1 4.13579477899998 0.0066117199999098375 0 16 31.0 0 2 5 
6 12 24 0 4.137123965000001 0.004848105000064606 6 34 10.0 1 2 5 
6 12 24 1 4.190490226000065 0.0054183199999897624 6 34 10.0 1 2 5 
7 14 0 -1 4.045923192000032 0.004008999000006952 0 9 66.0 0 2 5 
7 14 0 0 4.205422475999967 0.011868277000075977 11 44 29.0 2 2 5 
7 14 0 1 4.133975046000046 0.007065306000072269 11 44 29.0 2 2 5 
7 14 1 -1 3.991308414999935 0.0053108590000192635 0 11 37.0 0 2 5 
7 14 1 0 3.962883894999891 0.00509317099999862 16 62 37.0 2 2 5 
7 14 1 1 4.183410051999999 0.0065848269999833065 16 62 37.0 2 2 5 
7 14 2 -1 4.069533596000042 0.004022780000013881 0 33 39.0 0 3 5 
7 14 2 0 4.204841149999993 0.004888365999931921 12 180 31.0 2 3 5 
7 14 2 1 4.291714254999988 0.007198420999998234 20 476 31.0 2 3 5 
7 14 3 -1 3.9921252110000296 0.003908566999939467 0 13 54.0 0 2 5 
7 14 3 0 4.33821225600002 0.005714072000046144 15 56 40.0 3 2 5 
7 14 3 1 4.06487013900005 0.00828264400001899 15 56 40.0 3 2 5 
7 14 4 -1 4.09991461300001 0.005072284999982912 0 9 41.0 0 2 5 
7 14 4 0 4.0232065830000465 0.005753063000042857 13 59 18.0 1 2 5 
7 14 4 1 4.04843844100003 0.008707769000011467 13 59 18.0 1 2 5 
7 14 5 -1 4.135911114999999 0.0035721650000368754 0 11 56.0 0 2 5 
7 14 5 0 4.1856751819999545 0.006406378999940898 14 51 33.0 2 2 5 
